State,National Park,
KANSAS,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
KANSAS,Oregon NHT,"Various States ID,KS,MO,NE,OR,WA,WY"
KANSAS,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
KANSAS,Santa Fe,"CO,KS,MO,NM,OK"
,,
KENTUCKY,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
KENTUCKY,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
LOUISIANA,El Camino Real de los Tejas,"Various States TX,LA"
,,
MAINE,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
,,
MARYLAND,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
MARYLAND,Captain John Smith Chesapeake,"Various States VA,MD,DE,DC,PA,NY"
MARYLAND,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
MARYLAND,Star-Spangled Banner NHT,"DC,MD,VA"
MARYLAND,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
MASSACHUSETTS,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
MASSACHUSETTS,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
MASSACHUSETTS,New England NST,"MA,CT"
,,
MICHIGAN,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
,,
MINNESOTA,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
MINNESOTA,Saint Croix,"Saint Croix Falls, WI,MN"
,,
MISSOURI,Butterfield Overland NHT,"MO, AR, OK, TX, NM, AZ, CA"
MISSOURI,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
MISSOURI,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
MISSOURI,Oregon NHT,"Various States ID,KS,MO,NE,OR,WA,WY"
MISSOURI,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
MISSOURI,Santa Fe,"CO,KS,MO,NM,OK"
MISSOURI,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
MONTANA,Ice Age Floods NGT,"WA,OR,ID,MT"
MONTANA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
,,
NEBRASKA,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
NEBRASKA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
NEBRASKA,Mormon Pioneer,"Various States IL,IA,NE,UT,WY"
NEBRASKA,Oregon NHT,"Various States ID,KS,MO,NE,OR,WA,WY"
NEBRASKA,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
,,
NEVADA,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
,,
NEVADA,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
,,
NEW HAMPSHIRE,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
,,
NEW JERSEY,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
NEW JERSEY,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
NEW MEXICO,Butterfield Overland NHT,"MO, AR, OK, TX, NM, AZ, CA"
NEW MEXICO,El Camino Real de Tierra Adentro,"NM,TX"
NEW MEXICO,Old Spanish NHT,"AZ,CA,CO,NV,NM,UT"
NEW MEXICO,Santa Fe,"CO,KS,MO,NM,OK"
,,
NEW YORK,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
NEW YORK,Captain John Smith Chesapeake,"Various States VA,MD,DE,DC,PA,NY"
NEW YORK,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
NEW YORK,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
NEW YORK,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
NORTH CAROLINA,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
NORTH CAROLINA,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
NORTH CAROLINA,Overmountain Victory,"NC,SC,TN,VA"
,,
NORTH DAKOTA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
NORTH DAKOTA,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
,,
OHIO,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
OHIO,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
,,
OKLAHOMA,Butterfield Overland NHT,"MO, AR, OK, TX, NM, AZ, CA"
OKLAHOMA,Santa Fe,"CO,KS,MO,NM,OK"
OKLAHOMA,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
OREGON,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
OREGON,Ice Age Floods NGT,"WA,OR,ID,MT"
OREGON,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
OREGON,Oregon NHT,"Various States ID,KS,MO,NE,OR,WA,WY"
,,
PENNSYLVANIA,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
PENNSYLVANIA,Captain John Smith Chesapeake,"Various States VA,MD,DE,DC,PA,NY"
PENNSYLVANIA,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
PENNSYLVANIA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
PENNSYLVANIA,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
PENNSYLVANIA,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
RHODE ISLAND,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
,,
SOUTH DAKOTA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
,,
TENNESSEE,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
TENNESSEE,Overmountain Victory,"NC,SC,TN,VA"
TENNESSEE,Trail of Tears NHT,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
,,
TEXAS,Butterfield Overland NHT,"MO, AR, OK, TX, NM, AZ, CA"
TEXAS,El Camino Real de los Tejas,"Various States TX,LA"
TEXAS,El Camino Real de Tierra Adentro,"NM,TX"
,,
UTAH,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
UTAH,Mormon Pioneer,"Various States IL,IA,NE,UT,WY"
UTAH,Old Spanish NHT,"AZ,CA,CO,NV,NM,UT"
UTAH,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
,,
VERMONT,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
VERMONT,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
,,
VIRGINIA,Appalachian NST,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
VIRGINIA,Captain John Smith Chesapeake,"Various States VA,MD,DE,DC,PA,NY"
VIRGINIA,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
VIRGINIA,Overmountain Victory,"NC,SC,TN,VA"
VIRGINIA,Star-Spangled Banner NHT,"DC,MD,VA"
VIRGINIA,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
WASHINGTON DC,Captain John Smith Chesapeake,"Various States VA,MD,DE,DC,PA,NY"
WASHINGTON DC,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
WASHINGTON DC,Star-Spangled Banner NHT,"DC,MD,VA"
WASHINGTON DC,Washington-Rochambeau Revolutionary Route,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
,,
WASHINGTON,Ice Age Floods NGT,"WA,OR,ID,MT"
WASHINGTON,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
WASHINGTON,Oregon NHT,"Various States ID,KS,MO,NE,OR,WA,WY"
,,
WEST VIRGINIA,Chesapeake Bay,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
WEST VIRGINIA,Lewis and Clark NHT,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV"
,,
,,
WISCONSIN,North County NST,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI"
,,
WYOMING,California NHT,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
WYOMING,Oregon NHT,"Various States ID,KS,MO,NE,OR,WA,WY"
WYOMING,Pony Express NHT,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
